date,open,high,low,close,volume
2014/10/14,42674,42674,42674,42674,0
2014/10/15,41492,41492,41492,41492,0
2014/10/16,40406,40406,40406,40406,0
2014/10/17,40667,40667,40667,40667,0
2014/10/18,41580,41580,41580,41580,0
2014/10/19,41326,41326,41326,41326,0
2014/10/20,40559,40559,40559,40559,0
2014/10/21,40907,40907,40907,40907,0
2014/10/22,40616,40616,40616,40616,0
2014/10/23,38518,38518,38518,38518,0
2014/10/24,38394,38394,38394,38394,0
2014/10/25,37415,37415,37415,37415,0
2014/10/26,38002,38002,38002,38002,0
2014/10/27,37604,37604,37604,37604,0
2014/10/28,38051,38051,38051,38051,0
2014/10/29,36298,36298,36298,36298,0
2014/10/30,37534,37534,37534,37534,0
2014/10/31,37833,37833,37833,37833,0
2014/11/01,36551,36551,36551,36551,0
2014/11/02,36366,36366,36366,36366,0
2014/11/03,36969,36969,36969,36969,0
2014/11/04,37290,37290,37290,37290,0
2014/11/05,38653,38653,38653,38653,0
2014/11/06,40103,40103,40103,40103,0
2014/11/07,39077,39077,39077,39077,0
2014/11/08,39416,39416,39416,39416,0
2014/11/09,41624,41624,41624,41624,0
2014/11/10,41946,41946,41946,41946,0
2014/11/11,42487,42487,42487,42487,0
2014/11/12,49329,49329,49329,49329,0
2014/11/13,48281,48281,48281,48281,0
2014/11/14,46325,46325,46325,46325,0
2014/11/15,43616,43616,43616,43616,0
2014/11/16,45177,45177,45177,45177,0
2014/11/17,44980,44980,44980,44980,0
2014/11/18,43501,43501,43501,43501,0
2014/11/19,44495,44495,44495,44495,0
2014/11/20,42099,42099,42099,42099,0
2014/11/21,41078,41078,41078,41078,0
2014/11/22,41453,41453,41453,41453,0
2014/11/23,43187,43187,43187,43187,0
2014/11/24,44372,44372,44372,44372,0
2014/11/25,44316,44316,44316,44316,0
2014/11/26,43381,43381,43381,43381,0
2014/11/27,43448,43448,43448,43448,0
2014/11/28,44598,44598,44598,44598,0
2014/11/29,44524,44524,44524,44524,0
2014/11/30,44746,44746,44746,44746,0
2014/12/01,44820,44820,44820,44820,0
2014/12/02,45483,45483,45483,45483,0
2014/12/03,44914,44914,44914,44914,0
2014/12/04,44206,44206,44206,44206,0
2014/12/05,45643,45643,45643,45643,0
2014/12/06,45398,45398,45398,45398,0
2014/12/07,45427,45427,45427,45427,0
2014/12/08,43555,43555,43555,43555,0
2014/12/09,42043,42043,42043,42043,0
2014/12/10,40599,40599,40599,40599,0
2014/12/11,41180,41180,41180,41180,0
2014/12/12,41667,41667,41667,41667,0
2014/12/13,41255,41255,41255,41255,0
2014/12/14,41691,41691,41691,41691,0
2014/12/15,40652,40652,40652,40652,0
2014/12/16,37953,37953,37953,37953,0
2014/12/17,37866,37866,37866,37866,0
2014/12/18,36926,36926,36926,36926,0
2014/12/19,37870,37870,37870,37870,0
2014/12/20,39371,39371,39371,39371,0
2014/12/21,38137,38137,38137,38137,0
2014/12/22,39681,39681,39681,39681,0
2014/12/23,40309,40309,40309,40309,0
2014/12/24,38771,38771,38771,38771,0
2014/12/25,38275,38275,38275,38275,0
2014/12/26,39383,39383,39383,39383,0
2014/12/27,37940,37940,37940,37940,0
2014/12/28,38136,38136,38136,38136,0
2014/12/29,37690,37690,37690,37690,0
2014/12/30,37017,37017,37017,37017,0
2014/12/31,38312,38312,38312,38312,0
2015/01/01,37621,37621,37621,37621,0
2015/01/02,37886,37886,37886,37886,0
2015/01/03,33702,33702,33702,33702,0
2015/01/04,31749,31749,31749,31749,0
2015/01/05,32650,32650,32650,32650,0
2015/01/06,33804,33804,33804,33804,0
2015/01/07,35152,35152,35152,35152,0
2015/01/08,33888,33888,33888,33888,0
2015/01/09,34216,34216,34216,34216,0
2015/01/10,32466,32466,32466,32466,0
2015/01/11,31436,31436,31436,31436,0
2015/01/12,31612,31612,31612,31612,0
2015/01/13,26763,26763,26763,26763,0
2015/01/14,20798,20798,20798,20798,0
2015/01/15,24445,24445,24445,24445,0
2015/01/16,24353,24353,24353,24353,0
2015/01/17,23460,23460,23460,23460,0
2015/01/18,24671,24671,24671,24671,0
2015/01/19,25151,25151,25151,25151,0
2015/01/20,24997,24997,24997,24997,0
2015/01/21,26652,26652,26652,26652,0
2015/01/22,27561,27561,27561,27561,0
2015/01/23,27441,27441,27441,27441,0
2015/01/24,29210,29210,29210,29210,0
2015/01/25,29978,29978,29978,29978,0
2015/01/26,32207,32207,32207,32207,0
2015/01/27,30884,30884,30884,30884,0
2015/01/28,27409,27409,27409,27409,0
2015/01/29,27487,27487,27487,27487,0
2015/01/30,26610,26610,26610,26610,0
2015/01/31,25483,25483,25483,25483,0
2015/02/01,26597,26597,26597,26597,0
2015/02/02,27937,27937,27937,27937,0
2015/02/03,26676,26676,26676,26676,0
2015/02/04,26584,26584,26584,26584,0
2015/02/05,25473,25473,25473,25473,0
2015/02/06,26473,26473,26473,26473,0
2015/02/07,27050,27050,27050,27050,0
2015/02/08,26519,26519,26519,26519,0
2015/02/09,26115,26115,26115,26115,0
2015/02/10,26276,26276,26276,26276,0
2015/02/11,26429,26429,26429,26429,0
2015/02/12,26407,26407,26407,26407,0
2015/02/13,27990,27990,27990,27990,0
2015/02/14,30565,30565,30565,30565,0
2015/02/15,27817,27817,27817,27817,0
2015/02/16,27668,27668,27668,27668,0
2015/02/17,29044,29044,29044,29044,0
2015/02/18,28055,28055,28055,28055,0
2015/02/19,28524,28524,28524,28524,0
2015/02/20,29024,29024,29024,29024,0
2015/02/21,29081,29081,29081,29081,0
2015/02/22,28042,28042,28042,28042,0
2015/02/23,28282,28282,28282,28282,0
2015/02/24,28403,28403,28403,28403,0
2015/02/25,28197,28197,28197,28197,0
2015/02/26,28187,28187,28187,28187,0
2015/02/27,30208,30208,30208,30208,0
2015/02/28,30330,30330,30330,30330,0
2015/03/01,30953,30953,30953,30953,0
2015/03/02,32595,32595,32595,32595,0
2015/03/03,33690,33690,33690,33690,0
2015/03/04,32546,32546,32546,32546,0
2015/03/05,33014,33014,33014,33014,0
2015/03/06,32848,32848,32848,32848,0
2015/03/07,33292,33292,33292,33292,0
2015/03/08,33121,33121,33121,33121,0
2015/03/09,34948,34948,34948,34948,0
2015/03/10,35190,35190,35190,35190,0
2015/03/11,35926,35926,35926,35926,0
2015/03/12,35637,35637,35637,35637,0
2015/03/13,34509,34509,34509,34509,0
2015/03/14,34154,34154,34154,34154,0
2015/03/15,34638,34638,34638,34638,0
2015/03/16,35228,35228,35228,35228,0
2015/03/17,34521,34521,34521,34521,0
2015/03/18,30667,30667,30667,30667,0
2015/03/19,31366,31366,31366,31366,0
2015/03/20,31329,31329,31329,31329,0
2015/03/21,31183,31183,31183,31183,0
2015/03/22,32165,32165,32165,32165,0
2015/03/23,31831,31831,31831,31831,0
2015/03/24,29389,29389,29389,29389,0
2015/03/25,29406,29406,29406,29406,0
2015/03/26,29515,29515,29515,29515,0
2015/03/27,29383,29383,29383,29383,0
2015/03/28,30058,30058,30058,30058,0
2015/03/29,28839,28839,28839,28839,0
2015/03/30,29635,29635,29635,29635,0
2015/03/31,29231,29231,29231,29231,0
2015/04/01,29520,29520,29520,29520,0
2015/04/02,30193,30193,30193,30193,0
2015/04/03,30169,30169,30169,30169,0
2015/04/04,30119,30119,30119,30119,0
2015/04/05,30931,30931,30931,30931,0
2015/04/06,30412,30412,30412,30412,0
